Sales_Order_No,Customer_ID,FG_Item_ID,Ordered_Qty,Unit_Price,Order_Date,Requested_Delivery_Date,Sales_Status
SO00138,CUST068,FG0073,274,49668,2025-12-10,2025-12-22,Released
SO00139,CUST031,FG0097,255,37764,2025-07-24,2025-08-03,Open
SO00140,CUST055,FG0032,14,10857,2025-11-01,2025-11-08,Released
SO00141,CUST077,FG0020,85,78260,2026-05-20,2026-06-12,Released
SO00142,CUST090,FG0012,58,75038,2026-01-02,2026-01-19,Shipped
SO00143,CUST084,FG0051,46,72469,2026-02-01,2026-02-24,Open
SO00144,CUST044,FG0095,100,19661,2026-03-07,2026-03-19,Released
SO00145,CUST080,FG0005,265,75806,2025-02-08,2025-02-28,Open
SO00146,CUST046,FG0075,183,13648,2026-04-23,2026-05-12,Open
SO00147,CUST020,FG0054,50,25044,2026-06-06,2026-06-30,Shipped
SO00148,CUST087,FG0084,87,46281,2025-08-01,2025-08-16,Open
SO00149,CUST020,FG0009,182,15776,2025-09-10,2025-10-02,Open
SO00150,CUST078,FG0068,26,27361,2026-04-09,2026-04-29,Released
SO00151,CUST039,FG0061,154,67221,2026-05-13,2026-06-02,Released
SO00152,CUST030,FG0038,88,25751,2025-01-11,2025-02-02,Shipped
SO00153,CUST032,FG0027,223,16336,2025-08-14,2025-08-22,Open
SO00154,CUST052,FG0056,277,65835,2026-05-14,2026-05-27,Open
SO00155,CUST080,FG0084,47,13991,2025-07-29,2025-08-20,Released
SO00156,CUST009,FG0033,94,77526,2026-01-22,2026-02-13,Shipped
SO00157,CUST017,FG0020,186,31760,2025-12-28,2026-01-21,Released
SO00158,CUST057,FG0081,125,61346,2025-10-16,2025-10-29,Shipped
SO00159,CUST040,FG0021,261,59037,2025-08-30,2025-09-22,Shipped
SO00160,CUST063,FG0021,31,63496,2025-03-26,2025-04-03,Open
SO00161,CUST007,FG0020,117,51201,2025-10-20,2025-10-26,Open
SO00162,CUST053,FG0030,45,23650,2025-03-17,2025-03-25,Shipped
SO00163,CUST090,FG0030,220,26239,2026-04-27,2026-05-06,Released
SO00164,CUST097,FG0041,77,79487,2026-01-25,2026-02-18,Shipped
SO00165,CUST033,FG0048,128,70576,2026-01-09,2026-01-29,Released
SO00166,CUST008,FG0090,122,51798,2025-03-20,2025-04-14,Open
SO00167,CUST085,FG0006,127,30255,2025-05-07,2025-05-31,Released
SO00168,CUST085,FG0016,300,27120,2025-07-13,2025-07-27,Open
SO00169,CUST083,FG0068,80,33682,2025-08-01,2025-08-24,Open
SO00170,CUST004,FG0092,211,10914,2025-11-30,2025-12-17,Released
SO00171,CUST092,FG0030,128,22425,2025-10-21,2025-10-28,Shipped
SO00172,CUST041,FG0018,186,38051,2026-05-23,2026-06-13,Open
SO00173,CUST061,FG0004,194,41942,2026-03-22,2026-03-29,Open
SO00174,CUST069,FG0032,142,79784,2025-03-23,2025-04-03,Shipped
SO00175,CUST017,FG0001,85,27442,2025-12-29,2026-01-17,Released
SO00176,CUST010,FG0046,10,11490,2025-05-07,2025-05-21,Shipped
SO00177,CUST079,FG0070,141,41756,2025-01-30,2025-02-24,Shipped
SO00178,CUST047,FG0044,160,38682,2025-01-02,2025-01-27,Shipped
SO00179,CUST055,FG0066,276,37016,2026-05-29,2026-06-11,Open
SO00180,CUST015,FG0036,249,30368,2025-05-28,2025-06-16,Released
SO00181,CUST030,FG0091,245,45525,2025-08-01,2025-08-24,Open
SO00182,CUST032,FG0021,29,41336,2025-06-10,2025-06-22,Shipped
SO00183,CUST019,FG0098,245,48123,2025-11-16,2025-12-02,Shipped
SO00184,CUST097,FG0099,13,12585,2026-03-23,2026-04-06,Released
SO00185,CUST027,FG0073,161,57476,2026-04-23,2026-05-16,Released
SO00186,CUST035,FG0091,11,67705,2025-07-09,2025-07-20,Open
SO00187,CUST073,FG0013,274,29509,2025-04-09,2025-04-19,Open
SO00188,CUST024,FG0010,197,40552,2025-01-26,2025-02-07,Released
SO00189,CUST028,FG0062,71,33179,2026-04-04,2026-04-09,Released
SO00190,CUST069,FG0099,40,48676,2025-12-02,2025-12-24,Open
SO00191,CUST048,FG0078,271,71315,2025-06-18,2025-07-03,Open
SO00192,CUST039,FG0027,143,45321,2025-06-05,2025-06-22,Released
SO00193,CUST069,FG0089,261,69741,2025-03-17,2025-03-25,Shipped
SO00194,CUST025,FG0075,278,79753,2025-03-10,2025-04-01,Shipped
SO00195,CUST090,FG0066,79,22318,2025-11-09,2025-11-29,Shipped
SO00196,CUST035,FG0074,259,21147,2026-06-17,2026-06-29,Shipped
SO00197,CUST040,FG0032,273,33791,2025-01-03,2025-01-10,Open
SO00198,CUST039,FG0046,20,21289,2026-03-04,2026-03-09,Shipped
SO00199,CUST056,FG0089,153,72314,2025-09-18,2025-10-03,Shipped
SO00200,CUST042,FG0034,127,47991,2025-03-20,2025-04-07,Open
SO00201,CUST004,FG0095,88,37951,2026-03-28,2026-04-14,Shipped
SO00202,CUST061,FG0047,10,62163,2025-02-09,2025-02-27,Released
SO00203,CUST041,FG0020,11,10178,2025-11-09,2025-12-03,Released
SO00204,CUST088,FG0098,254,70211,2025-02-22,2025-03-08,Released
SO00205,CUST063,FG0068,46,74054,2025-12-31,2026-01-19,Released
SO00206,CUST078,FG0042,134,51653,2026-05-29,2026-06-09,Released
SO00207,CUST083,FG0056,104,52671,2025-02-12,2025-03-06,Shipped
SO00208,CUST066,FG0006,250,47463,2025-03-28,2025-04-02,Released
SO00209,CUST046,FG0033,269,25779,2025-11-19,2025-12-09,Shipped
SO00210,CUST077,FG0069,163,31491,2025-08-05,2025-08-28,Open
SO00211,CUST030,FG0094,140,37243,2025-05-24,2025-06-11,Shipped
SO00212,CUST079,FG0012,116,53793,2025-09-06,2025-09-21,Open
SO00213,CUST099,FG0036,216,25743,2026-06-04,2026-06-22,Open
SO00214,CUST098,FG0057,124,42816,2025-12-07,2025-12-12,Open
SO00215,CUST099,FG0021,185,11488,2026-06-08,2026-06-28,Open
SO00216,CUST078,FG0085,127,30410,2026-01-26,2026-02-06,Released
SO00217,CUST058,FG0091,181,32216,2025-07-30,2025-08-22,Shipped
SO00218,CUST060,FG0060,248,16101,2026-01-02,2026-01-25,Released
SO00219,CUST054,FG0016,144,37072,2025-08-21,2025-09-10,Released
SO00220,CUST054,FG0006,290,47377,2026-03-03,2026-03-09,Open
SO00221,CUST093,FG0090,191,28616,2025-09-23,2025-09-28,Shipped
SO00222,CUST071,FG0054,44,28069,2025-12-29,2026-01-13,Open
SO00223,CUST093,FG0079,277,27866,2025-01-08,2025-01-13,Shipped
SO00224,CUST065,FG0099,201,71819,2025-08-24,2025-09-01,Shipped
SO00225,CUST001,FG0033,98,25983,2025-12-07,2025-12-21,Shipped
SO00226,CUST084,FG0049,115,60456,2025-07-24,2025-08-18,Shipped
SO00227,CUST021,FG0089,88,29380,2025-12-15,2025-12-26,Shipped
SO00228,CUST060,FG0093,177,72948,2025-02-02,2025-02-18,Released
SO00229,CUST004,FG0027,258,23430,2026-02-13,2026-02-26,Released
SO00230,CUST036,FG0044,172,62224,2025-06-20,2025-07-07,Released
SO00231,CUST079,FG0010,255,33773,2025-09-30,2025-10-06,Shipped
SO00232,CUST046,FG0089,234,69882,2026-03-30,2026-04-24,Open
SO00233,CUST047,FG0081,219,25197,2025-03-09,2025-03-29,Released
SO00234,CUST024,FG0018,290,56039,2025-11-22,2025-12-06,Shipped
SO00235,CUST012,FG0099,33,26674,2025-04-23,2025-05-05,Released
SO00236,CUST071,FG0063,47,37044,2026-01-04,2026-01-19,Shipped
SO00237,CUST012,FG0065,48,27395,2025-08-08,2025-08-14,Open
SO00238,CUST024,FG0001,176,65611,2025-01-04,2025-01-26,Open
SO00239,CUST040,FG0074,69,16495,2026-02-10,2026-03-05,Released
SO00240,CUST043,FG0011,50,68893,2026-05-10,2026-05-25,Open
SO00241,CUST096,FG0030,122,71670,2025-12-11,2025-12-17,Shipped
SO00242,CUST048,FG0042,109,47366,2025-06-23,2025-07-08,Shipped
SO00243,CUST005,FG0012,238,18422,2025-01-12,2025-02-03,Released
SO00244,CUST083,FG0057,39,59446,2025-04-22,2025-05-03,Open
SO00245,CUST032,FG0066,220,75702,2025-04-19,2025-05-09,Released
SO00246,CUST014,FG0092,286,39309,2025-04-23,2025-05-14,Open
SO00247,CUST037,FG0003,207,67299,2026-01-25,2026-02-17,Released
SO00248,CUST023,FG0084,281,60415,2025-08-28,2025-09-04,Released
SO00249,CUST008,FG0031,135,47202,2026-05-02,2026-05-09,Open
SO00250,CUST060,FG0042,67,75942,2025-11-15,2025-11-21,Released
SO00251,CUST007,FG0074,289,63145,2025-12-13,2026-01-06,Open
SO00252,CUST084,FG0037,98,18756,2026-02-05,2026-02-15,Open
SO00253,CUST099,FG0055,36,40706,2026-02-21,2026-03-09,Shipped
SO00254,CUST053,FG0069,286,68749,2025-11-17,2025-11-24,Shipped
SO00255,CUST039,FG0085,21,30797,2025-07-11,2025-07-28,Shipped
SO00256,CUST100,FG0082,53,54092,2025-02-15,2025-03-04,Shipped
SO00257,CUST091,FG0089,239,43378,2025-12-10,2025-12-30,Open
SO00258,CUST010,FG0036,197,67908,2025-09-22,2025-10-16,Open
SO00259,CUST030,FG0012,88,79838,2025-04-15,2025-04-28,Released
SO00260,CUST064,FG0007,212,59340,2025-05-19,2025-06-06,Released
SO00261,CUST017,FG0051,30,75565,2026-04-24,2026-05-03,Open
SO00262,CUST095,FG0010,79,33917,2025-05-27,2025-06-19,Released
SO00263,CUST040,FG0096,66,21542,2025-05-28,2025-06-11,Released
SO00264,CUST006,FG0041,161,34261,2025-07-24,2025-08-06,Released
SO00265,CUST023,FG0013,51,62527,2025-04-19,2025-05-13,Open
SO00266,CUST073,FG0034,218,73924,2025-12-31,2026-01-19,Shipped
SO00267,CUST007,FG0061,189,63000,2026-02-14,2026-03-11,Open
SO00268,CUST089,FG0021,119,33886,2025-02-06,2025-02-24,Shipped
SO00269,CUST024,FG0086,167,49032,2025-03-15,2025-04-03,Shipped
SO00270,CUST060,FG0079,179,62257,2025-04-16,2025-05-05,Released
SO00271,CUST001,FG0001,134,15286,2025-04-12,2025-05-04,Open
SO00272,CUST089,FG0088,113,44264,2025-03-28,2025-04-17,Shipped
SO00273,CUST049,FG0082,107,35594,2025-10-29,2025-11-10,Released
SO00274,CUST060,FG0092,239,57649,2025-01-20,2025-02-05,Released
SO00275,CUST060,FG0068,206,62210,2025-05-18,2025-06-01,Open
SO00276,CUST018,FG0092,183,67848,2026-02-17,2026-03-04,Released
SO00277,CUST037,FG0006,100,29256,2025-01-02,2025-01-26,Released
SO00278,CUST095,FG0078,266,30609,2026-01-30,2026-02-22,Open
SO00279,CUST092,FG0016,229,13641,2025-01-20,2025-02-06,Open
SO00280,CUST076,FG0075,210,60232,2025-06-01,2025-06-26,Open
SO00281,CUST001,FG0068,276,18196,2025-08-11,2025-08-18,Open
SO00282,CUST080,FG0067,57,55761,2025-06-04,2025-06-23,Released
SO00283,CUST094,FG0007,91,75833,2026-06-09,2026-06-16,Released
SO00284,CUST043,FG0084,181,59570,2025-06-03,2025-06-11,Released
SO00285,CUST034,FG0090,25,48259,2025-04-13,2025-05-05,Released
SO00286,CUST014,FG0060,164,76948,2025-07-27,2025-08-13,Shipped
SO00287,CUST088,FG0096,239,51373,2025-10-05,2025-10-20,Open
SO00288,CUST042,FG0031,25,46359,2026-01-15,2026-01-22,Shipped
SO00289,CUST046,FG0059,48,78217,2026-01-01,2026-01-13,Open
SO00290,CUST088,FG0059,36,45312,2025-05-19,2025-06-09,Shipped
SO00291,CUST031,FG0027,181,55495,2025-06-09,2025-06-24,Open
SO00292,CUST054,FG0009,32,49163,2025-12-01,2025-12-13,Shipped
SO00293,CUST008,FG0033,297,70440,2025-08-14,2025-08-21,Open
SO00294,CUST037,FG0060,247,22335,2025-04-18,2025-04-24,Shipped
SO00295,CUST096,FG0010,179,11232,2026-05-22,2026-06-15,Released
SO00296,CUST026,FG0007,299,23493,2026-05-26,2026-06-08,Open
SO00297,CUST039,FG0049,283,23203,2025-11-05,2025-11-10,Shipped
SO00298,CUST013,FG0035,146,26450,2026-02-25,2026-03-21,Open
SO00299,CUST045,FG0025,195,11931,2026-03-18,2026-03-26,Shipped
SO00300,CUST068,FG0037,25,26854,2026-05-01,2026-05-08,Open
SO00301,CUST039,FG0085,143,63816,2026-01-02,2026-01-13,Released
SO00302,CUST015,FG0077,146,38306,2025-11-23,2025-12-16,Open
SO00303,CUST013,FG0047,257,78918,2025-04-01,2025-04-18,Shipped
SO00304,CUST033,FG0033,173,62917,2026-05-29,2026-06-17,Open
SO00305,CUST001,FG0004,130,73443,2025-09-18,2025-10-13,Shipped
SO00306,CUST042,FG0089,280,27006,2026-04-09,2026-05-04,Open
SO00307,CUST085,FG0040,79,50488,2025-05-03,2025-05-27,Shipped
SO00308,CUST014,FG0050,256,62957,2026-02-26,2026-03-19,Released
SO00309,CUST090,FG0047,231,27305,2025-10-13,2025-11-02,Released
SO00310,CUST089,FG0080,162,31552,2025-10-27,2025-11-07,Released
SO00311,CUST065,FG0099,23,10704,2026-05-30,2026-06-19,Released
SO00312,CUST048,FG0073,69,77245,2025-04-05,2025-04-20,Shipped
SO00313,CUST083,FG0082,20,35391,2026-01-27,2026-02-21,Shipped
SO00314,CUST001,FG0046,154,43119,2025-02-24,2025-03-15,Open
SO00315,CUST059,FG0023,78,12425,2025-07-22,2025-07-27,Open
SO00316,CUST028,FG0024,109,44933,2025-03-11,2025-03-22,Open
SO00317,CUST047,FG0014,254,55152,2025-01-15,2025-01-22,Open
SO00318,CUST077,FG0037,140,68622,2026-06-04,2026-06-27,Shipped
SO00319,CUST082,FG0074,44,51491,2026-04-29,2026-05-17,Shipped
SO00320,CUST067,FG0092,40,63871,2025-10-10,2025-11-04,Released
SO00321,CUST040,FG0011,79,26269,2025-03-05,2025-03-17,Open
SO00322,CUST062,FG0091,237,16682,2025-10-09,2025-10-28,Open
SO00323,CUST035,FG0083,267,27737,2026-03-27,2026-04-03,Released
SO00324,CUST076,FG0041,133,68251,2026-04-21,2026-04-27,Open
SO00325,CUST087,FG0029,239,44708,2026-04-14,2026-04-29,Released
SO00326,CUST061,FG0051,156,26987,2026-04-02,2026-04-19,Released
SO00327,CUST073,FG0046,55,46839,2026-04-18,2026-04-27,Open
SO00328,CUST080,FG0068,300,78303,2025-02-24,2025-03-19,Shipped
SO00329,CUST033,FG0099,11,52499,2025-04-07,2025-04-28,Released
SO00330,CUST063,FG0075,31,38073,2026-05-15,2026-05-20,Released
SO00331,CUST072,FG0086,181,31895,2025-05-22,2025-06-01,Open
SO00332,CUST060,FG0093,18,53325,2026-02-25,2026-03-02,Shipped
SO00333,CUST052,FG0031,245,52424,2025-12-19,2026-01-13,Open
SO00334,CUST056,FG0039,13,45902,2026-04-10,2026-04-30,Released
SO00335,CUST094,FG0048,265,10999,2026-05-29,2026-06-06,Shipped
SO00336,CUST035,FG0014,139,64419,2025-03-06,2025-03-18,Open
SO00337,CUST045,FG0078,299,11898,2025-04-19,2025-05-12,Shipped
SO00338,CUST002,FG0014,16,79063,2025-08-02,2025-08-20,Open
SO00339,CUST051,FG0075,133,73517,2025-05-21,2025-06-15,Shipped
SO00340,CUST013,FG0053,264,75128,2025-02-07,2025-03-04,Shipped
SO00341,CUST071,FG0023,40,17734,2026-04-15,2026-04-29,Released
SO00342,CUST083,FG0053,202,44444,2026-06-22,2026-07-01,Shipped
SO00343,CUST045,FG0013,186,43403,2026-05-25,2026-06-02,Released
SO00344,CUST073,FG0029,94,47514,2025-09-07,2025-09-20,Shipped
SO00345,CUST006,FG0027,113,47642,2026-04-10,2026-04-26,Open
SO00346,CUST054,FG0012,97,76476,2025-02-15,2025-02-26,Shipped
SO00347,CUST079,FG0027,300,66004,2026-02-01,2026-02-08,Open
SO00348,CUST084,FG0047,281,72312,2025-03-08,2025-03-23,Shipped
SO00349,CUST064,FG0045,238,61095,2026-06-08,2026-06-16,Shipped
SO00350,CUST052,FG0067,56,32031,2025-07-25,2025-08-03,Released
SO00351,CUST079,FG0001,273,27550,2025-11-29,2025-12-12,Shipped
SO00352,CUST093,FG0017,176,16411,2025-03-05,2025-03-13,Shipped
SO00353,CUST067,FG0068,266,47913,2025-06-15,2025-06-21,Open
SO00354,CUST063,FG0040,186,11991,2026-02-07,2026-02-19,Open
SO00355,CUST039,FG0047,11,24992,2025-07-15,2025-07-24,Open
SO00356,CUST039,FG0029,21,79835,2025-08-31,2025-09-18,Released
SO00357,CUST032,FG0090,196,43688,2025-08-24,2025-09-16,Open
SO00358,CUST044,FG0011,275,56107,2026-01-24,2026-02-06,Open
SO00359,CUST048,FG0056,299,44848,2025-03-07,2025-03-25,Shipped
SO00360,CUST080,FG0047,135,31570,2025-09-21,2025-09-27,Released
SO00361,CUST073,FG0082,13,34476,2025-02-23,2025-02-28,Open
SO00362,CUST022,FG0033,103,19963,2026-05-06,2026-05-18,Released
SO00363,CUST020,FG0063,55,20875,2025-08-15,2025-08-30,Open
SO00364,CUST015,FG0070,274,41221,2026-03-04,2026-03-22,Shipped
SO00365,CUST032,FG0045,79,33212,2026-02-13,2026-03-03,Released
SO00366,CUST067,FG0091,213,58534,2025-12-01,2025-12-12,Released
SO00367,CUST074,FG0089,283,76483,2025-02-10,2025-02-27,Open
SO00368,CUST073,FG0042,18,32182,2025-05-03,2025-05-13,Open
