Prod_Order_No,Component_Item_ID,Required_Qty,Available_Qty,Shortage_Qty
MO00024,RM0468,66,4,62
MO00024,RM0191,99,41,58
MO00024,RM0463,264,63,201
MO00025,RM0139,1135,295,840
MO00025,RM0123,1816,786,1030
MO00025,RM0285,454,167,287
MO00025,RM0461,681,319,362
MO00025,RM0426,1362,485,877
MO00025,RM0113,681,284,397
MO00025,RM0220,454,281,173
MO00026,RM0234,1336,1278,58
MO00026,RM0176,1336,1213,123
MO00026,RM0342,1002,398,604
MO00026,RM0177,334,216,118
MO00026,RM0482,167,143,24
MO00026,RM0161,167,166,1
MO00026,RM0449,1002,845,157
MO00026,RM0287,501,80,421
MO00027,RM0474,343,89,254
MO00027,RM0328,392,174,218
MO00027,RM0187,343,146,197
MO00027,RM0450,147,64,83
MO00027,RM0333,196,27,169
MO00027,RM0230,245,151,94
MO00027,RM0199,245,10,235
MO00027,RM0334,196,78,118
MO00028,RM0238,1696,1238,458
MO00028,RM0176,1060,163,897
MO00028,RM0459,1060,853,207
MO00028,RM0104,1060,992,68
MO00028,RM0445,1484,434,1050
MO00028,RM0212,848,792,56
MO00029,RM0185,804,78,726
MO00029,RM0131,134,110,24
MO00029,RM0167,268,201,67
MO00029,RM0151,134,126,8
MO00030,RM0384,1310,346,964
MO00030,RM0443,2096,1655,441
MO00030,RM0356,524,487,37
MO00030,RM0464,262,101,161
MO00030,RM0442,1310,598,712
MO00030,RM0187,1310,549,761
MO00031,RM0407,330,280,50
MO00031,RM0500,880,53,827
MO00031,RM0345,110,91,19
MO00031,RM0215,440,336,104
MO00031,RM0340,330,284,46
MO00031,RM0376,660,202,458
MO00032,RM0370,2370,1625,745
MO00032,RM0491,1185,712,473
MO00032,RM0169,1185,684,501
MO00032,RM0482,2370,767,1603
MO00033,RM0269,590,349,241
MO00033,RM0277,826,16,810
MO00033,RM0376,118,17,101
MO00033,RM0101,472,209,263
MO00033,RM0121,118,9,109
MO00033,RM0314,590,590,0
MO00033,RM0219,472,93,379
MO00034,RM0250,1148,540,608
MO00034,RM0475,1148,423,725
MO00034,RM0402,1435,1019,416
MO00034,RM0199,574,318,256
MO00034,RM0431,574,369,205
MO00034,RM0458,1148,518,630
MO00034,RM0383,1148,174,974
MO00034,RM0219,2296,884,1412
MO00035,RM0247,3136,594,2542
MO00035,RM0435,784,782,2
MO00035,RM0336,392,214,178
MO00035,RM0107,1960,946,1014
MO00035,RM0458,2744,1976,768
MO00035,RM0460,2744,1531,1213
MO00035,RM0487,2744,1631,1113
MO00035,RM0292,392,213,179
MO00036,RM0425,1795,389,1406
MO00036,RM0290,1436,244,1192
MO00036,RM0199,2872,2465,407
MO00036,RM0396,2154,1243,911
MO00036,RM0386,1795,886,909
MO00036,RM0390,1077,989,88
MO00036,RM0113,718,132,586
MO00037,RM0483,2548,183,2365
MO00037,RM0328,1456,347,1109
MO00037,RM0411,2912,1117,1795
MO00037,RM0417,2184,1843,341
MO00037,RM0335,2548,1883,665
MO00037,RM0116,364,157,207
MO00037,RM0152,2548,466,2082
MO00038,RM0474,2576,905,1671
MO00038,RM0328,2944,122,2822
MO00038,RM0187,2576,1395,1181
MO00038,RM0450,1104,632,472
MO00038,RM0333,1472,258,1214
MO00038,RM0230,1840,1046,794
MO00038,RM0199,1840,620,1220
MO00038,RM0334,1472,439,1033
MO00039,RM0269,710,28,682
MO00039,RM0277,994,963,31
MO00039,RM0376,142,135,7
MO00039,RM0101,568,163,405
MO00039,RM0121,142,55,87
MO00039,RM0314,710,584,126
MO00039,RM0219,568,1,567
MO00040,RM0112,294,116,178
MO00040,RM0246,294,178,116
MO00040,RM0160,588,29,559
MO00040,RM0207,1176,178,998
MO00040,RM0312,1764,471,1293
MO00041,RM0113,444,258,186
MO00041,RM0466,888,768,120
MO00041,RM0500,1554,1531,23
MO00041,RM0450,888,260,628
MO00041,RM0424,1110,1044,66
MO00042,RM0374,720,448,272
MO00042,RM0444,540,344,196
MO00042,RM0117,360,222,138
MO00042,RM0458,360,296,64
MO00042,RM0210,360,39,321
MO00042,RM0153,900,373,527
MO00043,RM0238,296,24,272
MO00043,RM0176,185,127,58
MO00043,RM0459,185,34,151
MO00043,RM0104,185,70,115
MO00043,RM0445,259,135,124
MO00043,RM0212,148,39,109
MO00044,RM0378,804,364,440
MO00044,RM0446,1876,1177,699
MO00044,RM0290,536,219,317
MO00044,RM0427,1608,724,884
MO00044,RM0231,536,438,98
MO00045,RM0418,854,540,314
MO00045,RM0256,244,91,153
MO00045,RM0372,732,60,672
MO00045,RM0262,610,414,196
MO00045,RM0468,976,43,933
MO00045,RM0451,366,137,229
MO00045,RM0338,366,67,299
MO00046,RM0405,1044,713,331
MO00046,RM0214,2436,891,1545
MO00046,RM0331,2088,290,1798
MO00046,RM0462,696,59,637
MO00047,RM0128,555,240,315
MO00047,RM0227,888,138,750
MO00047,RM0205,555,68,487
MO00047,RM0188,444,328,116
MO00047,RM0337,333,154,179
MO00047,RM0334,444,427,17
MO00047,RM0435,666,446,220
MO00047,RM0208,666,604,62
MO00048,RM0433,384,36,348
MO00048,RM0110,384,377,7
MO00048,RM0251,1536,450,1086
MO00048,RM0479,1536,1070,466
MO00048,RM0273,384,123,261
MO00048,RM0235,1536,520,1016
MO00049,RM0215,1480,287,1193
MO00049,RM0202,1776,58,1718
MO00049,RM0139,1776,364,1412
MO00049,RM0404,1480,361,1119
MO00049,RM0331,296,101,195
MO00049,RM0157,2368,2241,127
MO00049,RM0152,592,460,132
MO00049,RM0147,888,818,70
MO00050,RM0239,2208,1604,604
MO00050,RM0237,368,127,241
MO00050,RM0303,1104,815,289
MO00050,RM0468,736,702,34
MO00050,RM0191,1104,290,814
MO00050,RM0463,2944,2126,818
MO00051,RM0141,3016,2672,344
MO00051,RM0130,2262,1018,1244
MO00051,RM0419,754,738,16
MO00051,RM0275,2639,841,1798
MO00051,RM0302,2262,1520,742
MO00052,RM0459,2616,790,1826
MO00052,RM0133,1962,699,1263
MO00052,RM0124,1635,309,1326
MO00052,RM0482,654,147,507
MO00052,RM0138,1962,945,1017
MO00052,RM0101,1635,1195,440
MO00052,RM0382,1962,1934,28
MO00053,RM0441,2046,1375,671
MO00053,RM0400,2046,1812,234
MO00053,RM0274,1023,585,438
MO00053,RM0261,682,440,242
MO00053,RM0342,682,608,74
MO00054,RM0149,565,47,518
MO00054,RM0291,226,67,159
MO00054,RM0184,678,270,408
MO00054,RM0462,791,548,243
MO00054,RM0459,113,49,64
MO00054,RM0251,791,642,149
MO00054,RM0329,904,860,44
MO00055,RM0192,2888,1355,1533
MO00055,RM0346,361,312,49
MO00055,RM0126,2527,1808,719
MO00055,RM0484,361,298,63
MO00055,RM0286,361,48,313
MO00055,RM0416,2888,2093,795
MO00055,RM0371,2527,267,2260
MO00055,RM0344,722,634,88
MO00056,RM0446,712,544,168
MO00056,RM0451,534,287,247
MO00056,RM0465,1424,524,900
MO00056,RM0195,534,251,283
MO00056,RM0360,1068,1031,37
MO00056,RM0224,356,43,313
MO00057,RM0111,226,223,3
MO00057,RM0476,1582,1264,318
MO00057,RM0486,1130,673,457
MO00057,RM0234,678,531,147
MO00057,RM0422,904,537,367
MO00057,RM0352,452,183,269
MO00058,RM0129,2338,489,1849
MO00058,RM0190,668,169,499
MO00058,RM0471,2338,1867,471
MO00058,RM0448,1336,461,875
MO00058,RM0103,1336,168,1168
MO00058,RM0229,1002,732,270
MO00058,RM0151,1670,626,1044
MO00059,RM0490,1605,894,711
MO00059,RM0180,1605,383,1222
MO00059,RM0119,1284,1184,100
MO00059,RM0136,2568,652,1916
MO00059,RM0416,1926,86,1840
MO00059,RM0134,963,344,619
MO00059,RM0432,963,424,539
MO00059,RM0303,1926,211,1715
MO00060,RM0407,1188,505,683
MO00060,RM0500,3168,2572,596
MO00060,RM0345,396,245,151
MO00060,RM0215,1584,481,1103
MO00060,RM0340,1188,728,460
MO00060,RM0376,2376,1076,1300
MO00061,RM0349,2667,1906,761
MO00061,RM0491,3048,376,2672
MO00061,RM0290,762,519,243
MO00061,RM0180,1143,337,806
MO00061,RM0150,1143,120,1023
MO00061,RM0296,762,263,499
MO00061,RM0288,1524,486,1038
MO00062,RM0445,244,89,155
MO00062,RM0234,244,42,202
MO00062,RM0415,61,7,54
MO00062,RM0368,305,157,148
MO00062,RM0241,61,21,40
MO00062,RM0426,305,277,28
MO00062,RM0454,122,7,115
MO00062,RM0346,61,34,27
MO00063,RM0382,1928,1147,781
MO00063,RM0107,964,383,581
MO00063,RM0143,723,87,636
MO00063,RM0269,1446,973,473
MO00063,RM0243,723,84,639
MO00063,RM0284,1928,1139,789
MO00063,RM0356,482,147,335
MO00063,RM0319,723,233,490
MO00064,RM0384,235,198,37
MO00064,RM0443,376,312,64
MO00064,RM0356,94,35,59
MO00064,RM0464,47,9,38
MO00064,RM0442,235,129,106
MO00064,RM0187,235,153,82
MO00065,RM0343,2744,85,2659
MO00065,RM0447,1568,582,986
MO00065,RM0473,1176,60,1116
MO00065,RM0141,3136,2714,422
MO00065,RM0484,3136,543,2593
MO00065,RM0375,2744,739,2005
MO00065,RM0396,1568,838,730
MO00065,RM0490,3136,1352,1784
MO00066,RM0341,584,140,444
MO00066,RM0377,584,485,99
MO00066,RM0436,584,3,581
MO00066,RM0150,876,162,714
MO00066,RM0128,1168,38,1130
MO00066,RM0251,1022,295,727
MO00066,RM0387,730,684,46
MO00067,RM0239,1542,1504,38
MO00067,RM0237,257,42,215
MO00067,RM0303,771,299,472
MO00067,RM0468,514,292,222
MO00067,RM0191,771,768,3
MO00067,RM0463,2056,801,1255
MO00068,RM0459,2120,700,1420
MO00068,RM0133,1590,164,1426
MO00068,RM0124,1325,276,1049
MO00068,RM0482,530,151,379
MO00068,RM0138,1590,558,1032
MO00068,RM0101,1325,785,540
MO00068,RM0382,1590,486,1104
MO00069,RM0424,2214,1585,629
MO00069,RM0381,2583,618,1965
MO00069,RM0299,1107,332,775
MO00069,RM0422,1476,1160,316
MO00070,RM0341,1160,1071,89
MO00070,RM0377,1160,211,949
MO00070,RM0436,1160,863,297
MO00070,RM0150,1740,1162,578
MO00070,RM0128,2320,885,1435
MO00070,RM0251,2030,1320,710
MO00070,RM0387,1450,1427,23
MO00071,RM0129,595,561,34
MO00071,RM0190,170,87,83
MO00071,RM0471,595,384,211
MO00071,RM0448,340,57,283
MO00071,RM0103,340,100,240
MO00071,RM0229,255,55,200
MO00071,RM0151,425,263,162
MO00072,RM0184,354,6,348
MO00072,RM0384,708,244,464
MO00072,RM0112,531,62,469
MO00072,RM0167,177,150,27
MO00072,RM0256,1239,746,493
MO00073,RM0323,1800,319,1481
MO00073,RM0385,1575,1524,51
MO00073,RM0347,1800,1771,29
MO00073,RM0329,1350,1215,135
MO00073,RM0364,1575,280,1295
MO00073,RM0276,1575,611,964
MO00074,RM0381,560,4,556
MO00074,RM0277,160,55,105
MO00074,RM0112,640,44,596
MO00074,RM0352,160,75,85
MO00074,RM0191,480,467,13
MO00074,RM0255,80,24,56
MO00074,RM0325,320,88,232
MO00075,RM0474,1603,1370,233
MO00075,RM0328,1832,1491,341
MO00075,RM0187,1603,1514,89
MO00075,RM0450,687,527,160
MO00075,RM0333,916,354,562
MO00075,RM0230,1145,157,988
MO00075,RM0199,1145,155,990
MO00075,RM0334,916,575,341
MO00076,RM0282,264,233,31
MO00076,RM0208,528,526,2
MO00076,RM0414,264,108,156
MO00076,RM0477,528,453,75
MO00076,RM0436,440,43,397
MO00076,RM0446,264,252,12
MO00076,RM0289,352,59,293
MO00077,RM0153,3000,2384,616
MO00077,RM0192,2625,597,2028
MO00077,RM0390,1875,1698,177
MO00077,RM0413,3000,1469,1531
MO00077,RM0323,3000,831,2169
MO00077,RM0118,375,304,71
MO00077,RM0304,1875,979,896
MO00078,RM0191,387,134,253
MO00078,RM0409,1161,232,929
MO00078,RM0445,1548,923,625
MO00078,RM0127,3096,208,2888
MO00079,RM0370,1800,706,1094
MO00079,RM0266,675,347,328
MO00079,RM0287,225,153,72
MO00079,RM0248,675,481,194
MO00079,RM0365,900,789,111
MO00079,RM0209,1800,1577,223
MO00080,RM0340,1484,54,1430
MO00080,RM0154,1484,201,1283
MO00080,RM0443,848,483,365
MO00080,RM0206,1484,1370,114
MO00080,RM0200,1484,375,1109
MO00080,RM0175,848,828,20
MO00080,RM0123,1484,806,678
MO00081,RM0406,1680,949,731
MO00081,RM0202,280,152,128
MO00081,RM0442,280,9,271
MO00081,RM0415,1400,250,1150
MO00082,RM0330,1276,857,419
MO00082,RM0485,1914,1338,576
MO00082,RM0101,1914,1597,317
MO00082,RM0258,1914,307,1607
MO00082,RM0465,2552,1777,775
MO00083,RM0294,325,190,135
MO00083,RM0159,325,273,52
MO00083,RM0384,975,699,276
MO00083,RM0497,2600,477,2123
MO00083,RM0434,1300,394,906
MO00083,RM0223,975,832,143
MO00083,RM0289,975,94,881
MO00083,RM0443,650,447,203
MO00084,RM0169,1555,281,1274
MO00084,RM0338,1866,1239,627
MO00084,RM0482,311,204,107
MO00084,RM0318,2177,999,1178
MO00084,RM0187,2488,2180,308
MO00085,RM0237,186,65,121
MO00085,RM0317,93,35,58
MO00085,RM0304,93,17,76
MO00085,RM0161,62,42,20
MO00085,RM0118,155,111,44
MO00085,RM0160,124,41,83
MO00085,RM0427,155,130,25
MO00086,RM0441,258,34,224
MO00086,RM0400,258,46,212
MO00086,RM0274,129,109,20
MO00086,RM0261,86,33,53
MO00086,RM0342,86,28,58
MO00087,RM0128,515,367,148
MO00087,RM0227,824,243,581
MO00087,RM0205,515,70,445
MO00087,RM0188,412,213,199
MO00087,RM0337,309,67,242
MO00087,RM0334,412,52,360
MO00087,RM0435,618,248,370
MO00087,RM0208,618,291,327
MO00088,RM0384,875,589,286
MO00088,RM0443,1400,308,1092
MO00088,RM0356,350,264,86
MO00088,RM0464,175,0,175
MO00088,RM0442,875,394,481
MO00088,RM0187,875,471,404
MO00089,RM0215,945,549,396
MO00089,RM0202,1134,602,532
MO00089,RM0139,1134,1030,104
MO00089,RM0404,945,774,171
MO00089,RM0331,189,84,105
MO00089,RM0157,1512,246,1266
MO00089,RM0152,378,258,120
MO00089,RM0147,567,77,490
MO00090,RM0169,1075,671,404
MO00090,RM0338,1290,646,644
MO00090,RM0482,215,145,70
MO00090,RM0318,1505,1133,372
MO00090,RM0187,1720,1329,391
MO00091,RM0184,260,98,162
MO00091,RM0384,520,459,61
MO00091,RM0112,390,204,186
MO00091,RM0167,130,97,33
MO00091,RM0256,910,528,382
MO00092,RM0145,904,506,398
MO00092,RM0156,565,147,418
MO00092,RM0446,452,386,66
MO00092,RM0224,339,79,260
MO00092,RM0434,565,530,35
MO00093,RM0185,1620,1191,429
MO00093,RM0131,270,212,58
MO00093,RM0167,540,520,20
MO00093,RM0151,270,189,81
MO00094,RM0120,1036,485,551
MO00094,RM0486,259,190,69
MO00094,RM0462,518,268,250
MO00094,RM0393,1295,722,573
MO00094,RM0153,2072,935,1137
MO00095,RM0222,1528,675,853
MO00095,RM0485,2674,1738,936
MO00095,RM0181,1910,1582,328
MO00095,RM0224,764,466,298
MO00095,RM0420,1910,1879,31
MO00095,RM0332,1528,735,793
MO00096,RM0129,350,324,26
MO00096,RM0190,100,66,34
MO00096,RM0471,350,258,92
MO00096,RM0448,200,3,197
MO00096,RM0103,200,67,133
MO00096,RM0229,150,114,36
MO00096,RM0151,250,202,48
MO00097,RM0343,2352,2009,343
MO00097,RM0447,1344,1246,98
MO00097,RM0473,1008,985,23
MO00097,RM0141,2688,256,2432
MO00097,RM0484,2688,1248,1440
MO00097,RM0375,2352,716,1636
MO00097,RM0396,1344,992,352
MO00097,RM0490,2688,947,1741
MO00098,RM0184,300,160,140
MO00098,RM0384,600,457,143
MO00098,RM0112,450,295,155
MO00098,RM0167,150,133,17
MO00098,RM0256,1050,200,850
MO00099,RM0231,1360,234,1126
MO00099,RM0340,510,187,323
MO00099,RM0380,850,174,676
MO00099,RM0182,1020,769,251
MO00099,RM0442,850,425,425
MO00099,RM0132,1190,147,1043
MO00100,RM0328,162,22,140
MO00100,RM0306,243,136,107
MO00100,RM0315,243,229,14
MO00100,RM0296,567,274,293
MO00100,RM0113,648,626,22
MO00100,RM0378,648,385,263
MO00100,RM0363,648,363,285
MO00100,RM0165,648,187,461
MO00101,RM0154,384,355,29
MO00101,RM0468,384,83,301
MO00101,RM0355,896,800,96
MO00101,RM0325,768,115,653
MO00102,RM0192,912,393,519
MO00102,RM0346,114,68,46
MO00102,RM0126,798,608,190
MO00102,RM0484,114,48,66
MO00102,RM0286,114,80,34
MO00102,RM0416,912,175,737
MO00102,RM0371,798,144,654
MO00102,RM0344,228,102,126
MO00103,RM0382,1608,456,1152
MO00103,RM0107,804,580,224
MO00103,RM0143,603,335,268
MO00103,RM0269,1206,592,614
MO00103,RM0243,603,76,527
MO00103,RM0284,1608,1299,309
MO00103,RM0356,402,13,389
MO00103,RM0319,603,602,1
MO00104,RM0446,29,19,10
MO00104,RM0286,232,210,22
MO00104,RM0378,232,132,100
MO00104,RM0134,29,27,2
MO00104,RM0328,87,51,36
MO00105,RM0282,960,220,740
MO00105,RM0208,1920,1587,333
MO00105,RM0414,960,509,451
MO00105,RM0477,1920,1262,658
MO00105,RM0436,1600,851,749
MO00105,RM0446,960,539,421
MO00105,RM0289,1280,1115,165
MO00106,RM0219,1865,302,1563
MO00106,RM0351,746,461,285
MO00106,RM0461,373,3,370
MO00106,RM0347,373,70,303
MO00106,RM0399,373,11,362
MO00106,RM0161,2611,1732,879
MO00106,RM0293,1865,1329,536
MO00107,RM0192,2296,563,1733
MO00107,RM0346,287,90,197
MO00107,RM0126,2009,1451,558
MO00107,RM0484,287,18,269
MO00107,RM0286,287,234,53
MO00107,RM0416,2296,1771,525
MO00107,RM0371,2009,699,1310
MO00107,RM0344,574,338,236
MO00108,RM0372,375,80,295
MO00108,RM0127,300,237,63
MO00108,RM0346,450,221,229
MO00108,RM0444,600,479,121
MO00109,RM0446,1386,63,1323
MO00109,RM0461,198,166,32
MO00109,RM0388,990,333,657
MO00109,RM0246,1584,1109,475
MO00109,RM0299,792,459,333
MO00109,RM0258,594,109,485
MO00109,RM0486,990,456,534
MO00110,RM0234,568,284,284
MO00110,RM0176,568,361,207
MO00110,RM0342,426,328,98
MO00110,RM0177,142,43,99
MO00110,RM0482,71,18,53
MO00110,RM0161,71,61,10
MO00110,RM0449,426,208,218
MO00110,RM0287,213,7,206
MO00111,RM0193,308,63,245
MO00111,RM0218,154,34,120
MO00111,RM0339,616,427,189
MO00111,RM0456,616,325,291
MO00111,RM0316,385,263,122
MO00111,RM0386,154,123,31
MO00112,RM0343,2128,131,1997
MO00112,RM0447,1216,507,709
MO00112,RM0473,912,348,564
MO00112,RM0141,2432,1407,1025
MO00112,RM0484,2432,870,1562
MO00112,RM0375,2128,427,1701
MO00112,RM0396,1216,1094,122
MO00112,RM0490,2432,1041,1391
MO00113,RM0433,512,382,130
MO00113,RM0110,512,455,57
MO00113,RM0251,2048,1078,970
MO00113,RM0479,2048,1466,582
MO00113,RM0273,512,309,203
MO00113,RM0235,2048,1026,1022
MO00114,RM0433,208,169,39
MO00114,RM0110,208,7,201
MO00114,RM0251,832,453,379
MO00114,RM0479,832,375,457
MO00114,RM0273,208,45,163
MO00114,RM0235,832,326,506
MO00115,RM0474,2401,777,1624
MO00115,RM0328,2744,1239,1505
MO00115,RM0187,2401,50,2351
MO00115,RM0450,1029,997,32
MO00115,RM0333,1372,376,996
MO00115,RM0230,1715,1015,700
MO00115,RM0199,1715,1069,646
MO00115,RM0334,1372,1341,31
MO00116,RM0140,777,247,530
MO00116,RM0320,259,79,180
MO00116,RM0457,1813,1426,387
MO00116,RM0184,1813,874,939
MO00116,RM0368,518,315,203
MO00116,RM0285,518,82,436
MO00117,RM0215,370,210,160
MO00117,RM0202,444,114,330
MO00117,RM0139,444,247,197
MO00117,RM0404,370,149,221
MO00117,RM0331,74,4,70
MO00117,RM0157,592,310,282
MO00117,RM0152,148,95,53
MO00117,RM0147,222,75,147
MO00118,RM0374,368,357,11
MO00118,RM0444,276,151,125
MO00118,RM0117,184,20,164
MO00118,RM0458,184,145,39
MO00118,RM0210,184,95,89
MO00118,RM0153,460,37,423
MO00119,RM0306,738,552,186
MO00119,RM0318,123,20,103
MO00119,RM0457,246,221,25
MO00119,RM0228,738,388,350
MO00119,RM0179,246,232,14
MO00119,RM0203,123,67,56
MO00119,RM0208,861,797,64
MO00120,RM0128,1330,919,411
MO00120,RM0227,2128,760,1368
MO00120,RM0205,1330,677,653
MO00120,RM0188,1064,545,519
MO00120,RM0337,798,343,455
MO00120,RM0334,1064,328,736
MO00120,RM0435,1596,1053,543
MO00120,RM0208,1596,227,1369
MO00121,RM0341,780,397,383
MO00121,RM0377,780,307,473
MO00121,RM0436,780,206,574
MO00121,RM0150,1170,294,876
MO00121,RM0128,1560,768,792
MO00121,RM0251,1365,1271,94
MO00121,RM0387,975,906,69
MO00122,RM0349,784,235,549
MO00122,RM0491,896,534,362
MO00122,RM0290,224,167,57
MO00122,RM0180,336,231,105
MO00122,RM0150,336,58,278
MO00122,RM0296,224,45,179
MO00122,RM0288,448,434,14
MO00123,RM0193,848,38,810
MO00123,RM0218,424,282,142
MO00123,RM0339,1696,653,1043
MO00123,RM0456,1696,1202,494
MO00123,RM0316,1060,180,880
MO00123,RM0386,424,363,61
MO00124,RM0445,456,279,177
MO00124,RM0234,456,279,177
MO00124,RM0415,114,18,96
MO00124,RM0368,570,525,45
MO00124,RM0241,114,2,112
MO00124,RM0426,570,478,92
MO00124,RM0454,228,159,69
MO00124,RM0346,114,59,55
MO00125,RM0306,1716,1099,617
MO00125,RM0318,286,26,260
MO00125,RM0457,572,264,308
MO00125,RM0228,1716,1453,263
MO00125,RM0179,572,298,274
MO00125,RM0203,286,215,71
MO00125,RM0208,2002,1748,254
MO00126,RM0384,762,219,543
MO00126,RM0156,381,219,162
MO00126,RM0102,508,78,430
MO00126,RM0307,635,46,589
MO00126,RM0101,508,272,236
MO00126,RM0278,762,626,136
MO00126,RM0468,381,278,103
MO00127,RM0352,1590,1220,370
MO00127,RM0460,1590,566,1024
MO00127,RM0178,2120,2094,26
MO00127,RM0173,1060,378,682
MO00127,RM0409,1855,541,1314
MO00127,RM0474,1325,1260,65
MO00128,RM0179,330,178,152
MO00128,RM0191,660,305,355
MO00128,RM0465,220,184,36
MO00128,RM0119,220,48,172
MO00129,RM0425,1345,50,1295
MO00129,RM0290,1076,302,774
MO00129,RM0199,2152,1770,382
MO00129,RM0396,1614,704,910
MO00129,RM0386,1345,247,1098
MO00129,RM0390,807,37,770
MO00129,RM0113,538,397,141
MO00130,RM0139,1600,1346,254
MO00130,RM0123,2560,737,1823
MO00130,RM0285,640,236,404
MO00130,RM0461,960,777,183
MO00130,RM0426,1920,674,1246
MO00130,RM0113,960,885,75
MO00130,RM0220,640,548,92
MO00131,RM0381,2170,1986,184
MO00131,RM0277,620,496,124
