PO_No,Supplier_ID,Item_ID,Ordered_Qty,PO_Date,Expected_Receipt_Date
PO00224,SUP023,RM0101,802,2026-06-23,2026-07-07
PO00225,SUP066,RM0131,997,2025-02-21,2025-03-13
PO00226,SUP006,RM0323,117,2026-01-03,2026-01-20
PO00227,SUP057,RM0287,681,2025-05-16,2025-06-14
PO00228,SUP057,RM0458,919,2025-08-03,2025-08-08
PO00229,SUP054,RM0242,711,2025-07-10,2025-07-20
PO00230,SUP068,RM0231,323,2025-05-19,2025-06-18
PO00231,SUP021,RM0123,975,2025-02-01,2025-02-27
PO00232,SUP039,RM0222,641,2025-07-13,2025-08-05
PO00233,SUP012,RM0318,279,2025-05-06,2025-05-12
PO00234,SUP092,RM0309,90,2026-01-08,2026-02-04
PO00235,SUP072,RM0148,259,2026-01-24,2026-02-14
PO00236,SUP003,RM0432,938,2025-07-19,2025-08-01
PO00237,SUP021,RM0261,486,2025-08-25,2025-08-30
PO00238,SUP044,RM0385,634,2025-06-04,2025-06-27
PO00239,SUP038,RM0195,966,2025-07-01,2025-07-16
PO00240,SUP042,RM0289,430,2025-01-17,2025-02-14
PO00241,SUP080,RM0301,278,2026-03-23,2026-03-30
PO00242,SUP099,RM0190,919,2025-04-03,2025-05-02
PO00243,SUP086,RM0191,717,2025-08-21,2025-09-08
PO00244,SUP035,RM0350,671,2026-03-13,2026-03-29
PO00245,SUP059,RM0488,276,2026-03-05,2026-03-16
PO00246,SUP078,RM0320,738,2025-05-28,2025-06-21
PO00247,SUP095,RM0369,197,2025-10-28,2025-11-04
PO00248,SUP030,RM0276,788,2025-11-04,2025-11-19
PO00249,SUP073,RM0303,872,2026-03-18,2026-04-05
PO00250,SUP079,RM0203,961,2026-06-19,2026-07-13
PO00251,SUP072,RM0376,273,2025-05-31,2025-06-20
PO00252,SUP013,RM0449,857,2025-09-29,2025-10-05
PO00253,SUP003,RM0356,91,2025-01-31,2025-02-15
PO00254,SUP032,RM0373,500,2025-11-12,2025-11-25
PO00255,SUP090,RM0189,211,2026-01-22,2026-02-07
PO00256,SUP048,RM0437,510,2026-03-31,2026-04-15
PO00257,SUP069,RM0488,948,2025-04-10,2025-04-22
PO00258,SUP077,RM0220,569,2026-01-31,2026-02-23
PO00259,SUP054,RM0187,863,2026-05-05,2026-06-02
PO00260,SUP032,RM0141,64,2026-06-16,2026-07-04
PO00261,SUP027,RM0315,640,2026-04-13,2026-04-25
PO00262,SUP070,RM0291,746,2026-03-13,2026-03-31
PO00263,SUP029,RM0420,916,2025-08-26,2025-09-06
PO00264,SUP066,RM0388,774,2026-06-13,2026-06-20
PO00265,SUP079,RM0175,321,2025-11-09,2025-11-25
PO00266,SUP083,RM0147,689,2025-04-21,2025-04-26
PO00267,SUP099,RM0486,118,2025-03-17,2025-03-23
PO00268,SUP100,RM0258,320,2026-06-04,2026-06-21
PO00269,SUP062,RM0334,248,2025-07-18,2025-08-05
PO00270,SUP099,RM0490,469,2025-09-27,2025-10-12
PO00271,SUP016,RM0298,927,2025-09-20,2025-10-17
PO00272,SUP005,RM0232,266,2025-11-05,2025-11-13
PO00273,SUP025,RM0403,156,2025-06-30,2025-07-29
PO00274,SUP051,RM0254,507,2025-07-08,2025-08-02
PO00275,SUP099,RM0263,90,2025-08-04,2025-08-20
PO00276,SUP060,RM0133,640,2026-01-29,2026-02-05
PO00277,SUP062,RM0233,316,2025-05-01,2025-05-31
PO00278,SUP029,RM0241,219,2025-07-25,2025-08-19
PO00279,SUP002,RM0349,610,2025-06-22,2025-07-01
PO00280,SUP055,RM0152,85,2026-01-17,2026-02-14
PO00281,SUP071,RM0244,918,2025-06-17,2025-06-26
PO00282,SUP070,RM0261,487,2025-08-09,2025-08-21
PO00283,SUP031,RM0200,549,2026-05-16,2026-06-04
PO00284,SUP023,RM0247,632,2026-03-06,2026-03-26
PO00285,SUP027,RM0390,510,2025-10-11,2025-11-02
PO00286,SUP009,RM0441,436,2026-01-20,2026-01-28
PO00287,SUP055,RM0421,482,2025-02-19,2025-03-14
PO00288,SUP004,RM0169,702,2025-03-09,2025-04-07
PO00289,SUP087,RM0470,246,2025-06-07,2025-06-18
PO00290,SUP020,RM0459,357,2025-06-07,2025-07-06
PO00291,SUP019,RM0468,822,2026-04-07,2026-04-29
PO00292,SUP038,RM0125,852,2025-09-08,2025-09-29
PO00293,SUP015,RM0440,575,2025-05-25,2025-06-18
PO00294,SUP073,RM0336,208,2025-09-10,2025-10-06
PO00295,SUP029,RM0470,143,2026-06-25,2026-07-18
PO00296,SUP065,RM0301,867,2026-01-14,2026-02-07
PO00297,SUP003,RM0268,659,2025-08-30,2025-09-24
PO00298,SUP056,RM0302,667,2025-12-01,2025-12-31
PO00299,SUP006,RM0302,353,2026-03-14,2026-03-19
PO00300,SUP038,RM0301,527,2025-07-02,2025-07-14
PO00301,SUP072,RM0486,74,2025-05-04,2025-05-28
PO00302,SUP031,RM0408,459,2025-07-24,2025-08-16
PO00303,SUP001,RM0279,191,2025-02-09,2025-03-05
PO00304,SUP065,RM0189,431,2025-06-17,2025-07-13
PO00305,SUP047,RM0305,482,2025-03-22,2025-04-13
PO00306,SUP004,RM0160,855,2026-03-17,2026-03-22
PO00307,SUP022,RM0416,849,2025-11-24,2025-12-24
PO00308,SUP040,RM0394,518,2025-06-30,2025-07-29
PO00309,SUP087,RM0322,359,2026-02-08,2026-02-15
PO00310,SUP080,RM0291,765,2025-06-11,2025-06-24
PO00311,SUP002,RM0147,371,2026-06-10,2026-07-02
PO00312,SUP015,RM0172,977,2026-04-18,2026-05-03
PO00313,SUP009,RM0281,509,2025-07-15,2025-08-02
PO00314,SUP049,RM0394,349,2025-08-10,2025-08-27
PO00315,SUP064,RM0489,999,2026-05-25,2026-06-14
PO00316,SUP031,RM0460,591,2025-07-21,2025-07-27
PO00317,SUP049,RM0177,323,2026-01-17,2026-01-24
PO00318,SUP072,RM0282,557,2025-05-31,2025-06-27
PO00319,SUP040,RM0406,871,2025-04-16,2025-05-02
PO00320,SUP035,RM0145,493,2025-10-14,2025-11-06
PO00321,SUP065,RM0327,592,2025-02-18,2025-03-03
PO00322,SUP024,RM0375,442,2025-01-21,2025-02-02
PO00323,SUP095,RM0399,669,2025-04-25,2025-05-11
PO00324,SUP055,RM0404,107,2026-03-06,2026-03-30
PO00325,SUP071,RM0447,196,2025-09-09,2025-09-21
PO00326,SUP099,RM0359,60,2026-03-01,2026-03-07
PO00327,SUP087,RM0217,878,2026-01-24,2026-02-02
PO00328,SUP015,RM0151,732,2026-01-04,2026-01-30
PO00329,SUP003,RM0247,497,2025-09-12,2025-10-09
PO00330,SUP059,RM0361,396,2025-10-06,2025-10-11
PO00331,SUP058,RM0142,665,2025-08-17,2025-08-23
PO00332,SUP016,RM0321,247,2026-03-10,2026-04-08
PO00333,SUP066,RM0304,297,2026-03-06,2026-03-25
PO00334,SUP064,RM0439,386,2026-06-08,2026-06-15
PO00335,SUP079,RM0254,919,2025-09-29,2025-10-27
PO00336,SUP069,RM0389,472,2026-06-07,2026-06-22
PO00337,SUP083,RM0312,111,2025-03-23,2025-04-06
PO00338,SUP023,RM0116,137,2026-04-05,2026-04-14
PO00339,SUP081,RM0455,231,2025-11-19,2025-12-04
PO00340,SUP100,RM0319,950,2025-10-04,2025-10-11
PO00341,SUP039,RM0402,51,2025-03-08,2025-03-28
PO00342,SUP057,RM0461,677,2026-05-14,2026-05-27
PO00343,SUP090,RM0250,736,2025-04-01,2025-04-24
PO00344,SUP071,RM0331,551,2025-06-06,2025-07-01
PO00345,SUP060,RM0408,825,2025-10-29,2025-11-14
PO00346,SUP050,RM0232,982,2025-10-07,2025-11-05
PO00347,SUP086,RM0262,921,2026-04-24,2026-05-16
PO00348,SUP088,RM0387,371,2026-02-25,2026-03-05
PO00349,SUP003,RM0397,53,2025-02-14,2025-03-11
PO00350,SUP078,RM0481,195,2025-08-15,2025-09-04
PO00351,SUP079,RM0356,320,2025-01-02,2025-01-15
PO00352,SUP016,RM0159,380,2025-07-13,2025-07-25
PO00353,SUP039,RM0217,106,2026-05-22,2026-06-18
PO00354,SUP020,RM0223,677,2025-07-17,2025-07-26
PO00355,SUP093,RM0149,687,2025-12-11,2026-01-09
PO00356,SUP093,RM0152,455,2025-02-04,2025-02-20
PO00357,SUP033,RM0443,123,2025-02-18,2025-03-20
PO00358,SUP079,RM0287,733,2025-06-21,2025-07-15
PO00359,SUP041,RM0420,781,2026-04-09,2026-04-25
PO00360,SUP024,RM0281,731,2025-12-08,2025-12-18
PO00361,SUP073,RM0153,957,2025-05-13,2025-05-20
PO00362,SUP002,RM0107,894,2026-03-12,2026-03-26
PO00363,SUP068,RM0106,793,2025-07-13,2025-08-02
PO00364,SUP088,RM0145,816,2026-04-28,2026-05-28
PO00365,SUP068,RM0194,788,2025-02-05,2025-02-21
PO00366,SUP025,RM0426,936,2026-05-05,2026-05-20
PO00367,SUP079,RM0181,920,2025-02-13,2025-03-07
PO00368,SUP097,RM0476,807,2025-03-02,2025-03-13
PO00369,SUP086,RM0298,743,2025-11-23,2025-12-05
PO00370,SUP018,RM0496,562,2025-01-02,2025-01-07
PO00371,SUP023,RM0323,220,2025-11-23,2025-12-18
PO00372,SUP015,RM0108,789,2025-04-04,2025-04-30
PO00373,SUP052,RM0394,62,2026-05-06,2026-05-18
PO00374,SUP094,RM0270,70,2025-04-23,2025-05-08
PO00375,SUP031,RM0358,287,2025-12-14,2026-01-13
PO00376,SUP051,RM0145,763,2025-04-16,2025-04-30
PO00377,SUP024,RM0417,483,2025-11-30,2025-12-25
PO00378,SUP037,RM0225,752,2025-05-15,2025-06-02
PO00379,SUP099,RM0147,292,2026-02-02,2026-03-01
PO00380,SUP095,RM0306,632,2025-02-19,2025-03-17
PO00381,SUP003,RM0241,926,2026-03-11,2026-03-28
PO00382,SUP039,RM0472,481,2025-02-10,2025-02-28
PO00383,SUP045,RM0196,924,2025-10-29,2025-11-25
PO00384,SUP059,RM0145,408,2025-11-18,2025-11-24
PO00385,SUP086,RM0474,753,2026-05-18,2026-06-04
PO00386,SUP019,RM0342,530,2025-12-08,2026-01-06
PO00387,SUP070,RM0293,130,2025-11-20,2025-12-06
PO00388,SUP065,RM0376,809,2026-02-02,2026-02-15
PO00389,SUP093,RM0388,185,2025-11-22,2025-12-11
PO00390,SUP080,RM0195,821,2026-06-06,2026-06-19
PO00391,SUP014,RM0158,872,2025-09-29,2025-10-11
PO00392,SUP002,RM0271,893,2025-04-02,2025-04-23
PO00393,SUP038,RM0197,446,2025-11-18,2025-11-24
PO00394,SUP080,RM0339,303,2025-06-25,2025-07-06
PO00395,SUP051,RM0256,262,2025-01-25,2025-02-08
PO00396,SUP064,RM0197,345,2025-07-07,2025-07-21
PO00397,SUP084,RM0196,600,2025-07-29,2025-08-10
PO00398,SUP041,RM0249,704,2025-03-12,2025-03-25
PO00399,SUP072,RM0416,184,2026-03-08,2026-04-05
PO00400,SUP006,RM0441,241,2025-11-28,2025-12-04
PO00401,SUP079,RM0309,443,2025-01-07,2025-01-30
PO00402,SUP072,RM0248,683,2025-02-11,2025-02-16
PO00403,SUP003,RM0212,125,2026-05-19,2026-06-18
PO00404,SUP037,RM0263,762,2025-08-29,2025-09-21
PO00405,SUP089,RM0347,498,2026-06-09,2026-06-16
PO00406,SUP083,RM0226,452,2025-02-14,2025-03-07
PO00407,SUP014,RM0493,723,2026-03-29,2026-04-28
PO00408,SUP015,RM0137,774,2026-01-04,2026-02-02
PO00409,SUP064,RM0119,688,2025-10-18,2025-11-07
PO00410,SUP083,RM0126,948,2025-11-11,2025-12-05
PO00411,SUP015,RM0281,134,2025-09-29,2025-10-14
PO00412,SUP059,RM0238,368,2025-08-29,2025-09-15
PO00413,SUP087,RM0139,399,2025-08-15,2025-09-02
PO00414,SUP058,RM0343,315,2025-09-19,2025-09-24
PO00415,SUP005,RM0285,286,2025-08-15,2025-09-05
PO00416,SUP014,RM0164,546,2026-04-30,2026-05-11
PO00417,SUP064,RM0251,712,2025-11-11,2025-12-08
PO00418,SUP067,RM0321,118,2025-03-22,2025-04-14
PO00419,SUP039,RM0376,277,2025-10-04,2025-10-13
PO00420,SUP079,RM0355,76,2025-03-23,2025-04-17
PO00421,SUP008,RM0305,521,2025-09-02,2025-09-16
PO00422,SUP065,RM0445,654,2025-06-20,2025-06-25
PO00423,SUP071,RM0223,724,2025-10-17,2025-11-05
PO00424,SUP088,RM0479,224,2025-09-07,2025-09-22
PO00425,SUP013,RM0269,158,2026-04-09,2026-04-23
PO00426,SUP067,RM0495,784,2025-02-01,2025-03-03
PO00427,SUP019,RM0274,476,2025-11-19,2025-12-02
PO00428,SUP031,RM0315,400,2025-09-01,2025-09-15
PO00429,SUP011,RM0323,579,2025-07-03,2025-07-24
PO00430,SUP083,RM0264,830,2025-01-25,2025-01-31
PO00431,SUP011,RM0380,91,2026-01-15,2026-01-20
PO00432,SUP066,RM0430,811,2025-07-23,2025-08-17
PO00433,SUP021,RM0397,438,2025-04-06,2025-05-03
PO00434,SUP056,RM0115,235,2025-12-10,2026-01-07
PO00435,SUP017,RM0227,315,2025-07-07,2025-08-04
PO00436,SUP016,RM0269,468,2025-06-09,2025-07-04
PO00437,SUP015,RM0203,190,2025-01-19,2025-01-25
PO00438,SUP079,RM0108,668,2026-04-09,2026-04-23
PO00439,SUP054,RM0497,630,2025-09-12,2025-10-04
PO00440,SUP074,RM0266,695,2025-03-30,2025-04-18
PO00441,SUP007,RM0177,778,2026-02-07,2026-02-17
PO00442,SUP050,RM0355,610,2025-09-21,2025-10-01
PO00443,SUP058,RM0288,881,2026-06-04,2026-06-14
PO00444,SUP012,RM0368,534,2026-01-07,2026-01-31
PO00445,SUP073,RM0137,790,2025-03-27,2025-04-23
PO00446,SUP095,RM0370,821,2026-01-31,2026-02-13
PO00447,SUP018,RM0232,977,2026-05-03,2026-05-13
PO00448,SUP089,RM0337,836,2025-12-02,2025-12-14
